amount,category,transaction_type,transaction_date,description
655544,Savings & Investing,DEBIT,2026-06-07T13:36:00Z,
799876,Transportation,DEBIT,2026-06-07T13:36:44Z,
6797,Housing,DEBIT,2026-05-13T13:35:04.557969Z,
4350,Food & Groceries,DEBIT,2026-05-23T12:44:27.419970Z,
3716,Savings & Investing,DEBIT,2026-05-30T20:55:56.972983Z,
2500,Debt Payments,CREDIT,2026-06-05T16:47:34.103643Z,
8004,Entertainment,DEBIT,2026-06-07T01:55:20.240590Z,
4191,Gifts & Donations,DEBIT,2026-05-24T07:50:36.441181Z,
4496,Personal Care,CREDIT,2026-05-28T06:45:47.520958Z,
1893,Transportation,CREDIT,2026-06-02T18:42:52.382912Z,
6122,Food & Groceries,CREDIT,2026-05-08T15:51:53.854495Z,
2945,Debt Payments,CREDIT,2026-05-23T09:40:24.898360Z,
3108,Gifts & Donations,DEBIT,2026-06-03T06:43:15.206514Z,
6645,Gifts & Donations,DEBIT,2026-05-30T22:28:18.819663Z,
4343,Food & Groceries,CREDIT,2026-05-25T18:02:17.439972Z,
1555,Housing,DEBIT,2026-06-04T04:05:35.414616Z,
1772,Transportation,DEBIT,2026-05-25T14:10:56.544756Z,
5095,Food & Groceries,CREDIT,2026-05-13T09:20:26.480855Z,
3773,Entertainment,CREDIT,2026-05-13T03:10:37.038885Z,
1018,Personal Care,DEBIT,2026-05-20T08:19:43.576676Z,
2764,Utilities,DEBIT,2026-05-23T03:05:22.117785Z,
5968,Gifts & Donations,DEBIT,2026-05-25T23:18:12.410187Z,
7337,Savings & Investing,DEBIT,2026-05-21T19:39:25.042636Z,
959,Savings & Investing,DEBIT,2026-05-11T17:51:06.085870Z,
2852,Debt Payments,DEBIT,2026-06-01T07:43:45.902052Z,
2399,Transportation,DEBIT,2026-06-03T00:15:31.198430Z,
7034,Transportation,CREDIT,2026-05-24T21:07:56.115740Z,
7907,Personal Care,DEBIT,2026-05-19T02:29:59.816214Z,
5830,Housing,CREDIT,2026-05-22T02:16:10.417807Z,
6557,Health & Medical,CREDIT,2026-05-23T17:28:49.181358Z,
1467,Entertainment,CREDIT,2026-05-25T03:23:52.701822Z,
2962,Housing,DEBIT,2026-05-15T09:28:06.131684Z,
1002,Housing,DEBIT,2026-05-17T19:06:04.336188Z,
7968,Shopping,CREDIT,2026-05-25T04:57:00.472739Z,
4928,Personal Care,DEBIT,2026-05-22T13:14:51.140138Z,
6644,Transportation,CREDIT,2026-06-07T06:36:28.195781Z,
7388,Transportation,DEBIT,2026-05-21T17:19:37.746441Z,
4686,Food & Groceries,DEBIT,2026-05-21T07:47:20.731676Z,
5493,Personal Care,DEBIT,2026-05-26T20:37:48.828724Z,
7274,Entertainment,CREDIT,2026-05-27T07:01:07.944734Z,
1266,Dining Out,DEBIT,2026-05-31T23:35:07.445912Z,
1645,Shopping,CREDIT,2026-05-21T03:34:17.754837Z,
