amount,transaction_date,category,transaction_type
3030,2026-03-23 16:30:46.755101,10,DEBIT
2527,2026-03-06 20:21:27.962722,12,CREDIT
3275,2026-03-17 12:18:08.495870,12,CREDIT
3375,2026-03-14 11:48:06.431485,6,DEBIT
3427,2026-02-26 00:37:50.426627,8,DEBIT
1979,2026-03-13 22:49:02.101443,3,DEBIT
2491,2026-02-28 14:28:27.575636,7,DEBIT
3083,2026-03-11 13:02:18.816629,10,CREDIT
3629,2026-02-28 03:39:53.304878,3,DEBIT
3407,2026-03-22 06:59:21.012136,11,DEBIT
2894,2026-03-09 14:12:07.101146,3,DEBIT
3277,2026-03-19 02:04:38.888885,11,DEBIT
2208,2026-03-20 14:52:44.509566,8,CREDIT
3009,2026-03-26 09:50:53.552214,1,CREDIT
2719,2026-02-27 06:35:10.770274,10,DEBIT
2857,2026-03-15 06:43:13.724152,9,CREDIT
3147,2026-03-03 01:36:37.869289,6,CREDIT
2668,2026-03-20 21:28:09.347526,4,DEBIT
2867,2026-02-28 17:01:17.686504,10,DEBIT
2095,2026-02-27 09:24:04.237453,10,CREDIT
3565,2026-03-21 10:54:36.051440,5,CREDIT
1779,2026-03-18 10:23:40.641769,10,CREDIT
2593,2026-03-13 16:59:57.203454,6,CREDIT
3423,2026-03-23 22:08:20.477140,11,DEBIT
3059,2026-03-12 18:12:31.186766,11,CREDIT
1907,2026-02-26 10:41:04.974756,12,DEBIT
2274,2026-03-08 02:31:03.083091,8,DEBIT
3660,2026-03-20 10:37:48.649357,4,CREDIT
2932,2026-03-06 01:59:30.937290,6,DEBIT
2244,2026-03-24 01:51:23.837983,6,DEBIT
1739,2026-03-24 14:11:56.329285,5,DEBIT
1894,2026-03-10 06:44:37.328578,7,CREDIT
3577,2026-02-26 08:53:48.335371,1,DEBIT
2936,2026-03-06 15:54:39.740403,8,CREDIT
2705,2026-03-22 15:22:50.001308,11,CREDIT
3681,2026-03-27 09:58:28.542542,4,CREDIT
2126,2026-03-18 22:58:54.663351,10,DEBIT
2571,2026-03-03 04:10:02.767040,1,CREDIT
2863,2026-02-26 15:21:55.100828,1,DEBIT
3811,2026-03-01 16:23:52.071819,9,DEBIT
